index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
423,진심홍삼인삼주38,1.0,0.0,0.0,2,38,0.0,증류주,증류주 쌀 삼,750ml,70000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",,,,legacy_419
424,진심홍삼주19,3.0,1.0,1.0,2,19,0.0,증류주,단맛        증류주 쌀 삼,375ml,3000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",,,,legacy_420
425,진쾌남,,,,3,25,0.0,기타주류,향기    바디감 목넘김    기타주류 쌀 오미자 구기자 밤 산수유 오가피,330ml,8500,농업회사법인사곡양조원,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수",,,,legacy_421
426,찰막걸리,2.0,2.0,3.0,2,5.5,0.0,탁주,청량감      탁주 쌀 찹쌀 밀,750ml,1500,(주)1932포천일동막걸리,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐",,,,legacy_422
427,창원생탁주,3.0,3.0,3.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀,750ml,1000,농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수",,,,legacy_423
428,천년담주,2.0,1.0,1.0,4,15,0.0,약주/청주,바디감     약주/청주 꿀,500ml,10000,농업회사법인(주)죽향도가,"백미,벌꿀,정제수",,,,legacy_424
429,천년전주생막걸리,1.0,1.0,2.0,3,6,0.0,탁주,바디감     탁주 쌀,750ml,1300,(유)산에들에농업회사법인,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소",,,,legacy_425
430,천년주,,,,2,25,0.0,증류주,목넘김    증류주 쌀,375ml,15000,농업회사법인(주)영덕주조,"쌀,천년초,조효소제,효모,젖산,정제효소,구연산,정제수",,,,legacy_426
431,천등산차례주,3.0,2.0,2.0,3,11,0.0,약주/청주,단맛   바디감     약주/청주 쌀,700ml,5900,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수",,,,legacy_427
432,천마몽,3.0,,,3,38,0.0,기타주류,단맛   바디감     기타주류 쌀,375ml,15000,덕유양조,"쌀,누룩,효모,천마,정제수",,,,legacy_428
433,천마이야기,2.0,2.0,2.0,5,6,0.0,탁주,바디감     탁주 오미자,750ml,1500,농업회사법인산들벗(주),"팽화미,입국미,무주천마분말,오미자추출액",,,,legacy_429
434,천매,2.0,,,4,30,0.0,기타주류,향기    바디감     기타주류 꿀,600ml,130000,더한주류,"매실주원액,발효주정,정제수,꿀",,,,legacy_430
435,천비향오양주약주,2.0,2.0,1.0,3,16,0.0,약주/청주,바디감     약주/청주 쌀  파티,500ml,40000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_431
436,천비향오양주탁주,2.0,2.0,1.0,3,14,0.0,탁주,바디감     탁주 쌀  선물,500ml,18000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_432
437,천비향화주,,,,2,40,0.0,증류주,향기     목넘김    증류주 쌀  선물,375ml,50000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_433
438,천안연미주,2.0,3.0,4.0,2,13,0.0,약주/청주,신맛 청량감      약주/청주 삼 약재,360ml,5000,농업회사법인입장주조㈜,"백미,한약재홍삼외가지",,,,legacy_434
439,천지주가햅쌀생막걸리,3.0,2.0,2.0,5,6,0.0,탁주,단맛   바디감     탁주 쌀,750ml,1400,(유)산에들에농업회사법인,"쌀,정제수,국,효모등",,,,legacy_435
440,청남대블루베리생막걸리,3.0,2.0,3.0,2,6,1.0,탁주,단맛  청량감   담백  탄산 탁주 쌀 베리,750ml,3000,농업회사법인명세주가(주),"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수",,,,legacy_436
441,청명주,4.0,4.0,2.0,4,17,0.0,약주/청주,단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀  선물,500ml,23000,중원당,"국내산찹쌀,누룩,소맥분",,,,legacy_437
442,청산녹수꿀막걸리,1.0,2.0,3.0,4,8,0.0,탁주,청량감 바디감     탁주 쌀 사과 꿀,750ml,1500,농업회사법인(주)청산녹수,"쌀,벌꿀,사과농축액,효모,정제효소",,,,legacy_438
443,청산녹수사미인주,2.0,2.0,4.0,3,8,0.0,탁주,청량감 바디감     탁주 쌀 꿀  무감미료,750ml,4000,농업회사법인(주)청산녹수,"유기농햅쌀,벌꿀,입국,누룩,효모,정제수",,,,legacy_439
444,청산녹수생탁주,1.0,3.0,3.0,3,6,0.0,탁주,신맛 청량감 바디감     탁주 쌀 사과,750ml,1000,농업회사법인(주)청산녹수,"쌀,사과농축액,효모,정제효소",,,,legacy_440
445,청세주,3.0,1.0,1.0,4,18,0.0,약주/청주,단맛   바디감     약주/청주 쌀,375ml,4000,병영주조장,쌀,,,,legacy_441
446,청송얼음골동동주,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,"1,200ml",1800,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",,,,legacy_442
447,청송주왕사과막걸리,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,750ml,1500,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",,,,legacy_443
448,청양둔송구기주,3.0,1.0,1.0,2,16,0.0,약주/청주,단맛        약주/청주 쌀 구기자 감초  선물,700ml,11500,청양둔송구기주,"쌀,누룩,구기자,감초,두충껍질",,,,legacy_444
449,청진주,2.0,2.0,1.0,1,16,0.0,약주/청주,약주/청주 쌀 찹쌀  선물,375ml,30000,전통주연구개발원,"찹쌀,누룩,정제수",,,,legacy_445
450,청춘,2.0,2.0,1.0,3,15,0.0,약주/청주,바디감     약주/청주 쌀,750ml,20000,농업회사법인신탄진주조(주),"쌀,누룩,정제수",,,,legacy_446
451,초선의꿈로제,1.0,3.0,,2,12,0.0,과실주,신맛   목넘김  탄닌감  과실주 포도  기념일,375ml,20000,여포와인농장,국내산포도,,,,legacy_447
452,추사40,,,,3,40,0.0,증류주,향기    바디감     증류주 사과  과일류,500ml,60000,예산사과와인(주),사과,,,,legacy_448
453,추사로제,2.0,3.0,2.0,1,12,0.0,과실주,신맛       과실주 사과,375ml,20000,예산사과와인(주),사과,,,,legacy_449
454,추사백25,3.0,,,2,25,0.0,증류주,향기 단맛        증류주  과일류,350ml,12000,예산사과와인,"증류원액,정제수",,,,legacy_450
455,추사블루,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 베리  이색전통주,375ml,20000,예산사과와인(주),블루베리,,,,legacy_451
456,추사애플와인,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 사과  선물,375ml,20000,예산사과와인(주),사과,,,,legacy_452
457,추성주,2.0,0.0,3.0,2,25,0.0,증류주,청량감      증류주 쌀 오미자 구기자  선물,700ml,80000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",,,,legacy_453
458,추시와인,3.0,2.0,2.0,3,12.5,0.0,기타주류,단맛   바디감     기타주류,750ml,16000,양촌감영농조합법인,감,,,,legacy_454
459,충주백주,,,,3,35,0.0,증류주,향기    바디감     증류주 쌀,375ml,7800,고헌정영농조합법인,"쌀증류원액,당귀,아스파탐,아세설팜K,구연산,정제수",,,,legacy_455
460,컨츄리산머루와인드라이,1.0,3.0,,3,14,0.0,과실주,신맛  바디감 목넘김    과실주 머루,750ml,20000,컨츄리농원,국산산머루원액,,,,legacy_456
461,컨츄리산머루와인스위트,2.0,3.0,,2,12,0.0,과실주,신맛       과실주 머루,750ml,20000,컨츄리농원,국산산머루원액,,,,legacy_457
462,컨츄리와인캠벨얼리스위트,3.0,1.0,,3,12,0.0,과실주,단맛   바디감 목넘김    과실주 포도,750ml,15000,컨츄리농원,국산포도원액,,,,legacy_458
463,코이버펑크머스캣베일리에이,3.0,3.0,3.0,4,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도,,,,legacy_459
464,코이버펑크샤르도네세미용블랜드,2.0,4.0,4.0,3,11,0.0,과실주,신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도,,,,legacy_460
465,코이버펑크카베르네소비뇽,1.0,2.0,2.0,3,12,0.0,과실주,바디감     과실주  베리류,750ml,65000,"고성찬,이금자,정재학",코이버펑크,,,,legacy_461
466,쿨샷7.5,3.0,1.0,2.0,2,7.5,0.0,과실주,단맛        과실주 복분자  저도수,300ml,3000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",,,,legacy_462
467,크라테레드와인드라이,2.0,2.0,3.0,3,11.5,0.0,과실주,청량감 바디감     과실주 머루,750ml,48000,수도산와이너리,산머루,,,,legacy_463
468,크라테레드와인스위트,4.0,2.0,3.0,1,11.5,0.0,과실주,단맛  청량감      과실주 머루,750ml,48000,수도산와이너리,산머루,,,,legacy_464
469,크라테로제와인,4.0,1.0,3.0,3,11.5,0.0,과실주,단맛  청량감 바디감   탄닌감  과실주 머루,375ml,18000,수도산와이너리,산머루,,,,legacy_465
470,타미앙스,1.0,1.0,2.0,4,40,0.0,증류주,바디감     증류주 쌀 오미자 구기자  선물,500ml,50000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",,,,legacy_466
471,톡쏘는알밤동동,4.0,1.0,3.0,3,6,0.0,기타주류,단맛  청량감 바디감     기타주류 쌀 밤,350ml,1300,가평우리술,"쌀,정제수,입국,밤농축액,밤추출물등",,,,legacy_467
472,톡한잔골드,3.0,,,4,43,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 보리,500ml,49000,농업회사법인(유)대마주조,"찰보리,쌀,민들레분말,볶음보리",,,,legacy_468
473,톡한잔소주,2.0,,,3,30,0.0,증류주,바디감     증류주 쌀 보리,500ml,10000,농업회사법인(유)대마주조,"찰보리,쌀",,,,legacy_469
474,티나Tina,,,,5,16,0.0,기타주류,향기    바디감 목넘김    기타주류  이색전통주,750ml,54000,추성고을,"딸기추출물,죽력,정제수,주정,액상과당,구연산,딸기향,망고향",,,,legacy_470
475,펀치쌀바나나,3.0,1.0,2.0,4,4,1.0,기타주류,단맛   바디감    탄산 기타주류 쌀,750ml,2000,내변산(동진주조),"쌀,바나나농축액,효모,종곡,정제수,합성착향료,합성감미료",,,,legacy_471
476,편백숲산소막걸리,3.0,3.0,3.0,3,5.2,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 사과  저도수,750ml,1900,농업회사법인(주)청산녹수,"멥쌀,올리고당,사과농축액,누룩,아스파탐",,,,legacy_472
477,편백숲산소막걸리딸기스파클링,3.0,2.0,5.0,3,6.8,1.0,탁주,단맛  청량감 바디감    탄산 탁주 쌀 찹쌀  이색전통주,940ml,41000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩,딸기,올리고당",,,,legacy_473
478,편백숲산소막걸리순수령,3.0,1.0,1.0,4,5.8,0.0,탁주,단맛   바디감     탁주 쌀 찹쌀  홈술,750ml,4000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩",,,,legacy_474
479,평창머루주,1.0,3.0,1.0,4,16,0.0,과실주,신맛  바디감     과실주 머루,360ml,6500,농업회사법인(주)홍지원,국내산산머루,,,,legacy_475
480,평창오디주,1.0,3.0,1.0,3,16,0.0,과실주,신맛  바디감     과실주 오디,360ml,6500,농업회사법인(주)홍지원,국내산오디,,,,legacy_476
481,포엠레드드라이와인,2.0,3.0,2.0,4,12,0.0,과실주,신맛  바디감     과실주 포도 머루,750ml,25000,갈기산포도농원(주)농업회사법인,"포도,머루",,,,legacy_477
482,포엠레드스위트와인,4.0,3.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도,750ml,25000,갈기산포도농원(주)농업회사법인,포도,,,,legacy_478
483,포엠로제와인,4.0,3.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도,750ml,35000,갈기산포도농원(주)농업회사법인,포도,,,,legacy_479
484,포엠화이트와인,4.0,4.0,4.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도  과일류,750ml,35000,갈기산포도농원(주)농업회사법인,청포도,,,,legacy_480
485,풍남문,2.0,3.0,4.0,2,5,0.0,기타주류,신맛 청량감      기타주류 보리,1000ml,9000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수",,,,legacy_481
486,풍정사계동,2.0,,,3,25,0.0,증류주,향기    바디감     증류주  선물,375ml,25000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_482
487,풍정사계추,1.0,2.0,1.0,4,12,0.0,탁주,바디감     탁주  선물,500ml,15000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_483
488,풍정사계춘,2.0,1.0,1.0,3,15,0.0,약주/청주,바디감     약주/청주  선물,500ml,30000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_484
489,풍정사계하,4.0,1.0,1.0,3,18,0.0,약주/청주,단맛   바디감     약주/청주,500ml,35000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_485
490,하향주,3.0,3.0,1.0,4,17,0.0,약주/청주,단맛 신맛  바디감     약주/청주 쌀 찹쌀,750ml,45000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수",,,,legacy_486
491,하향주증류주,,,,4,45,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀,700ml,70000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수",,,,legacy_487
492,한비동충하초술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오가피,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",,,,legacy_488
493,한비무병장수술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오미자 복분자 구기자 삼 산수유 오가피  삼(蔘)류,375ml,30000,제천한약영농조합법인,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",,,,legacy_489
494,한비쌀소주,,,,2,40,0.0,증류주,목넘김    증류주 쌀,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,정제수",,,,legacy_490
495,한비오가피술,,,,3,35,0.0,기타주류,바디감     기타주류 쌀 오가피,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,정제수",,,,legacy_491
496,한산소곡주,3.0,1.0,,4,18,0.0,약주/청주,단맛   바디감 목넘김    약주/청주 쌀 찹쌀 생강  선물,360ml,6500,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",,,,legacy_492
497,한스오차드사과와인,4.0,3.0,2.0,2,11,0.0,과실주,단맛 신맛       과실주 사과  홈술,750ml,20000,(주)한국애플리즈,국산사과원액,,,,legacy_493
498,한시울,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 쌀,500ml,18000,농업회사법인명세주가(주),"국내산쌀,누룩,효모,구연산,정제수",,,,legacy_494
499,한주,,,,3,35,0.0,증류주,향기    바디감 목넘김    증류주 쌀 밀,360ml,12000,한주양조,"국내산쌀,밀누룩,정제수",,,,legacy_495
500,해미읍성딸기와인,3.0,2.0,1.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"해미딸기,아황산염,소르빈산염",,,,legacy_496
501,해미읍성매실와인,5.0,1.0,2.0,4,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"매실,아황산염,소르빈산염",,,,legacy_497
502,해미읍성모과와인,3.0,2.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"모과,아황산염,소르빈산염",,,,legacy_498
503,해미읍성살구와인,3.0,2.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"살구,아황산염,소르빈산염",,,,legacy_499
504,해방주18.8,,,,2,18.8,0.0,증류주,증류주 쌀  저도수,375ml,12000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정세효소제,구연산",,,,legacy_500
505,해방주38,,,,3,38,0.0,증류주,향기    바디감 목넘김    증류주 쌀,800ml,45000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정제효소제,구연산",,,,legacy_501
506,해창12도생막걸리,1.0,1.0,2.0,2,12,0.0,탁주,탁주 쌀 찹쌀,900ml,10000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_502
507,해창9도생막걸리,1.0,1.0,2.0,2,9,0.0,탁주,탁주 쌀 찹쌀  홈술,900ml,6000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_503
508,해창찹쌀생막걸리,1.0,1.0,3.0,2,6,0.0,탁주,청량감      탁주 쌀 찹쌀,900ml,3000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_504
509,해파랑,3.0,1.0,1.0,3,13,0.0,약주/청주,단맛   바디감     약주/청주 쌀,375ml,10000,농업회사법인(주)영덕주조,"쌀,해방풍,계량누룩,젖산,이소말토올리고당,정제수",,,,legacy_505
510,햇찹쌀이하늘수,3.0,3.0,3.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 찹쌀,500ml,1100,안양주조장,"쌀,찹쌀,전통누룩,정제수",,,,legacy_506
511,행운막걸리,3.0,1.0,1.0,4,6,0.0,탁주,단맛   바디감     탁주 쌀,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,정제효소,종국,효모,젖산,아스파탐",,,,legacy_507
512,행운주,2.0,2.0,2.0,2,12,0.0,약주/청주,약주/청주 밀,750ml,9000,성포양조장,"백미,밀누룩,정제수,종국,효모,아스파탐",,,,legacy_508
513,향수우리밀막걸리,2.0,3.0,3.0,5,9,0.0,탁주,신맛 청량감 바디감     탁주 밀,700ml,7900,이원양조장,"우리밀,누룩,정제수,무감미료",,,,legacy_509
514,허니문와인,4.0,2.0,2.0,2,10,0.0,기타주류,단맛        기타주류 꿀  파티,375ml,35000,아이비영농조합법인,국내산벌꿀,,,,legacy_510
515,허니비와인,3.0,1.0,1.0,4,8,0.0,기타주류,단맛   바디감     기타주류 꿀  파티,500ml,35000,아이비영농조합법인,국내산벌꿀,,,,legacy_511
516,호담,2.0,,,2,20,0.0,기타주류,기타주류 삼  삼(蔘)류,300ml,18000,대농바이오우리산삼,"산양산삼,정제수,주정",,,,legacy_512
517,호담산양산삼막걸리,1.0,3.0,3.0,1,6,0.0,탁주,신맛 청량감      탁주 쌀 삼,750ml,1800,대농바이오우리산삼,"쌀,입국,산양산삼,정제수,아스파탐",,,,legacy_513
518,호담산양산삼주,1.0,1.0,1.0,3,13,0.0,약주/청주,바디감     약주/청주 삼,375ml,4000,대농바이오우리산삼,"산양산삼,정제주,주정",,,,legacy_514
519,호땅,3.0,1.0,2.0,4,6,0.0,기타주류,단맛   바디감     기타주류 쌀 땅콩,750ml,2700,배혜정도가,"쌀,국,효모,정제수,땅콩",,,,legacy_515
520,호랑이생막걸리,4.0,1.0,2.0,2,6,0.0,탁주,단맛        탁주 쌀,750ml,2200,배혜정도가,"쌀,정제수,국,효모,젖산등",,,,legacy_516
521,호모루덴스,1.0,2.0,2.0,4,12,0.0,탁주,바디감     탁주 쌀  드라이,500ml,12000,농업회사법인(주)산수,"쌀,누룩,정제수",,,,legacy_517
522,혼디주,4.0,3.0,3.0,2,12,0.0,과실주,단맛 신맛 청량감      과실주 귤  선물,330ml,8000,농업회사법인(주)시트러스,"감귤,정제수,백설탕,구연산,무수아황산",,,,legacy_518
523,홍로,,,,2,45,0.0,증류주,향기         증류주 쌀 찹쌀,500ml,50000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩,자초",,,,legacy_519
524,홍삼명주,1.0,3.0,,1,14,0.0,기타주류,신맛   목넘김 담백   기타주류 삼  삼(蔘)류,375ml,12000,자연과인삼,"홍삼추출액,효모,정백당,정제수",,,,legacy_520
525,홍천강탁주,2.0,3.0,2.0,4,11,0.0,탁주,신맛  바디감     탁주 쌀,500ml,10000,예술,"홍천쌀,정제수,국",,,,legacy_521
526,화주,,,,1,25,0.0,증류주,목넘김    증류주 쌀 삼  삼(蔘)류,375ml,13000,내국양조,"국내산쌀,홍삼농축액,정제수",,,,legacy_522
527,황금보리소주17,,,,2,17,0.0,증류주,증류주 보리,375ml,5000,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_523
528,황금보리소주25,,,,2,25,0.0,증류주,향기         증류주 보리,375ml,8500,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_524
529,황금보리소주40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 보리,375ml,15700,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_525
530,황진이,3.0,2.0,1.0,3,12,0.0,약주/청주,단맛   바디감     약주/청주 쌀 오미자 산수유,375ml,3500,농업회사법인(유)술소리,"쌀,오미자,산수유",,,,legacy_526
531,황칠주,,,,2,16,0.0,기타주류,목넘김    기타주류,365ml,9900,왕지케양조장(제주본초협동조합),"황칠나무잎,정제수,,효모",,,,legacy_527
532,회곡생동동주,3.0,2.0,3.0,3,7,0.0,탁주,단맛  청량감 바디감     탁주 쌀,"1,200ml",1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",,,,legacy_528
533,회곡생막걸리,2.0,2.0,2.0,4,6,0.0,탁주,바디감     탁주 쌀,750ml,1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",,,,legacy_529
534,흑돈주,,,,2,16,0.0,기타주류,목넘김    기타주류,365ml,12000,왕지케양조장(제주본초협동조합),"황칠나무,정제수,,효모",,,,legacy_530
535,희양산막걸리15,3.0,4.0,1.0,5,15,0.0,탁주,단맛 신맛  바디감     탁주 쌀  무감미료,500ml,9500,두술도가,"쌀,누룩,정제수",,,,legacy_531
536,희양산막걸리9,2.0,3.0,2.0,3,9,0.0,탁주,신맛  바디감  담백   탁주 쌀  무감미료,750ml,8000,두술도가,"쌀,누룩,정제수",,,,legacy_532
